Gene_id	Max_aMAFC	Max_Time	PassMaxtime	On_trans	Off_trans	12B-10G_MaxVal	12B-3D7B_MaxVal	10G-3D7B_MaxVal	12B-10G_MaxTime	12B-3D7B_MaxTime	10G-3D7B_MaxTime	A7-B11_MaxVal	A7-E5_MaxVal	A7-B11_MaxTime	A7-E5_MaxTime	E5-B11_MaxVal	E5-B11_MaxTime	Is_3D7B	Is_tRNA.x	Is_tRNA.y
PF3D7_1367000	-0.124325089981637	Right	FALSE	A7	10G	0.122171572035896	-0.0439110802365629	-0.124325089981637	Right	Left	Right	-0.0726096899529539	-0.0556097765779261	Left	Sides	0.0519015427727619	Right	TRUE	FALSE	FALSE
PF3D7_1122800	-0.12412043015345928	Left	FALSE	10G	12B	-0.124120430153459	-0.097219227423909	0.123780964410111	Left	Mid	Sides	-0.0719758155241539	0.056480044306444	Sides	Right	-0.083456847261029	Right	FALSE	FALSE	FALSE
PF3D7_1348700	-0.1237641627767906	Left	FALSE	B11	A7	-0.0792673212321252	0.27075691634109	0.290121768721552	Left	Mid	Mid	-0.123764162776791	-0.0388757760031401	Left	Sides	-0.0861598563335367	Left	FALSE	FALSE	FALSE
PF3D7_0933000	-0.12376183614561144	Mid	FALSE	B11	E5	0.0685899455608556	-0.0819995856388629	-0.0832101717056548	Mid	Sides	Mid	-0.0728394136164939	0.0524694150054484	Right	Mid	-0.123761836145611	Mid	FALSE	FALSE	FALSE
PF3D7_0314200	0.12369827660675498	Sides	FALSE	A7	E5	NA	NA	NA	NA	NA	NA	0.0484343942531172	0.123698276606755	Right	Sides	-0.088119012912457	Sides	FALSE	FALSE	FALSE
PF3D7_0923400	0.12362783548983468	Sides	FALSE	A7	E5	-0.0978425014122666	-0.0733223134384073	0.100110642621704	Mid	Left	Right	0.120833220220584	0.123627835489835	Left	Sides	0.112124965119844	Mid	FALSE	FALSE	FALSE
PF3D7_1368700	0.12346681472354092	Right	FALSE	10G	B11	0.0983959909446889	0.103305546059237	0.123466814723541	Left	Mid	Right	-0.114532216489499	-0.0667048803419777	Left	Mid	-0.106013460547419	Left	TRUE	FALSE	FALSE
PF3D7_1427600	-0.1232006050853658	Sides	FALSE	E5	A7	0.10153591482669	0.0954044089965037	0.0739376764698001	Sides	Left	Left	-0.106674422000359	-0.123200605085366	Right	Sides	0.0700851896472862	Sides	FALSE	FALSE	FALSE
PF3D7_0610900	-0.12320000379529408	Right	FALSE	E5	10G	0.0473526152443482	-0.0806778252004118	-0.123200003795294	Sides	Right	Right	-0.0285564475165425	-0.031949951725156	Mid	Right	-0.0414368573905488	Left	TRUE	FALSE	FALSE
PF3D7_1459200	0.12316708948884084	Left	FALSE	E5	B11	0.0659046115774845	-0.121192981655177	-0.0998402587464667	Right	Left	Mid	0.0338399026466282	-0.112957978704195	Right	Left	0.123167089488841	Left	FALSE	FALSE	FALSE
PF3D7_1004200	0.12312039736069898	Left	FALSE	A7	E5	0.106962600246859	0.0199227486769186	-0.102267934936874	Mid	Right	Mid	-0.0596950320668236	0.123120397360699	Mid	Left	-0.10751765628936	Left	FALSE	FALSE	FALSE
PF3D7_1306800	-0.12304400932235632	Left	FALSE	A7	10G	0.102408434094704	-0.0537116027138764	-0.123044009322356	Mid	Left	Left	0.0640034961635868	0.113109471835428	Sides	Mid	0.11405929276692	Sides	TRUE	FALSE	FALSE
PF3D7_0417300	-0.12304119664420288	Mid	FALSE	E5	A7	0.0473148178927779	0.0640467909540592	-0.105609935455252	Sides	Mid	Sides	-0.0535945400541973	-0.123041196644203	Mid	Mid	0.0694466565900056	Mid	FALSE	FALSE	FALSE
PF3D7_1111700	-0.12250947042080106	Right	FALSE	E5	A7	0.0512103037011659	0.0733945135417037	0.117490437683518	Right	Left	Left	-0.0843602806517157	-0.122509470420801	Right	Right	0.111612535665573	Sides	FALSE	FALSE	FALSE
PF3D7_1351000	-0.12239221606594738	Right	FALSE	E5	10G	0.109727838218725	-0.113889339913533	-0.122392216065947	Right	Left	Right	-0.0782978003162057	-0.0672156043326953	Left	Mid	-0.0525628338167135	Sides	TRUE	FALSE	FALSE
