Gene_id	Max_aMAFC	Max_Time	PassMaxtime	On_trans	Off_trans	12B-10G_MaxVal	12B-3D7B_MaxVal	10G-3D7B_MaxVal	12B-10G_MaxTime	12B-3D7B_MaxTime	10G-3D7B_MaxTime	A7-B11_MaxVal	A7-E5_MaxVal	A7-B11_MaxTime	A7-E5_MaxTime	E5-B11_MaxVal	E5-B11_MaxTime	Is_3D7B	Is_tRNA.x	Is_tRNA.y
PF3D7_0302200	4.805225660246067	Right	TRUE	10G	A7	-3.76787341806744	1.03735224217863	4.80522566024607	Right	Right	Right	-1.95897071379492	-0.580043265968369	Right	Sides	-1.51962840229271	Right	TRUE	FALSE	FALSE
PF3D7_1301600	-3.886932089353957	Right	TRUE	B11	12B	-3.26987135168384	-3.88693208935396	-0.617060737670119	Right	Right	Right	-0.409393354310543	0.180500410904196	Left	Mid	-0.479082260135636	Mid	TRUE	FALSE	FALSE
PF3D7_1100300	-3.629859553973756	Left	TRUE	E5	12B	-2.41044337845007	-3.62985955397376	-1.21941617552368	Left	Left	Left	3.05533979435198	0.276551030139181	Left	Right	3.26077687195544	Left	TRUE	FALSE	FALSE
PF3D7_1100500	-3.3546311348778084	Left	TRUE	10G	12B	-3.35463113487781	-2.74785864408769	0.606772490790119	Left	Left	Left	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
PF3D7_0425900	3.2516299999073657	Right	TRUE	A7	B11	-2.29762546807652	-2.26871474963062	0.41496942972897	Right	Sides	Right	3.25162999990737	0.0683909732047913	Right	Right	3.18323902670257	Right	FALSE	FALSE	FALSE
PF3D7_1301700	-2.9035007569271563	Left	TRUE	10G	12B	-2.90350075692716	-2.65686159953356	-0.325489709637956	Left	Left	Right	1.24222097739453	1.07071751280409	Mid	Mid	0.171503464590439	Mid	FALSE	FALSE	FALSE
PF3D7_1102200	-2.4882391115076152	Sides	TRUE	10G	12B	-2.48823911150762	-1.66410881944519	0.82413029206243	Sides	Sides	Sides	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
PF3D7_1240100	-2.0906756987325186	Sides	TRUE	10G	12B	-2.09067569873252	-1.90383331459613	0.186842384136385	Sides	Sides	Sides	-0.341154274591694	0.252297808307343	Left	Mid	-0.559631774111708	Mid	FALSE	FALSE	FALSE
