Name,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP24,TP25,TP26,TP27,TP28,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48
PF3D7_1405300,1.343,1.35875445,0.736124,1.0575509,0.88531443,1.03494992,0.639,1.10243247,1.01252576,1.25322653,0.942,0.91896062,1.16900874,0.85,0.714695822,0.96019549,0.98972412,0.74,1.00095817,1.324,1.08034907,1.00361978,1.41458684,1.3466948,1.4049298,1.555,1.16824878,1.24518577,1.664,1.14948842,1.37316318,1.26585369,1.56586903,1.27235507,1.19409737,1.02362965,0.90793314,1.142832,0.96217358,1.20175415,1.1314415,1.36445657,1.0930731,1.06587208,1.0624584,0.9830864
PF3D7_1405400,0.5905,0.65206263,0.490889055,0.457302205,0.4566615,0.44771732,0.3895,0.519244515,0.51016723,0.590388375,0.4905,0.53885682,0.784560085,0.7695,1.119185032,0.88193135,1.32182421,1.4765,1.52117676,2.235,1.63956673,1.617670525,2.308176405,2.2171682,1.8643599,1.905,1.853471585,1.694313165,1.411,1.450401605,0.9923543,0.98660911,0.86469055,0.722365865,0.785099395,0.59559129,0.37350852,0.70410886,0.38441449,0.4835692,0.59667755,0.634814715,0.62748365,0.571330355,0.47521095,0.63133465
PF3D7_1405600,0.472,0.35567053,0.27499849,0.35799867,0.22163304,0.18644319,0.135,0.14209656,0.16398232,0.13102614,0.087,0.12261412,0.1779855,0.182,0.310627511,0.36795811,0.47020115,0.782,0.71473513,1.096,1.22340479,0.93534,1.73214716,1.4370609,1.51066844,1.998,1.71992169,1.98924927,2.101,2.22826217,2.36457943,1.88027387,1.65147242,1.33376429,1.21275519,1.00165544,0.80196396,0.70889058,0.57889639,0.53831286,0.4503914,0.37140613,0.4592744,0.50772184,0.4745816,0.389825
PF3D7_1405700,2.79,1.67025676,0.89542185,1.265013,0.88653217,0.80157891,0.656,0.64417111,1.05156921,0.6150521,0.691,0.62081468,0.65356274,0.614,0.723113954,0.67867827,0.79682108,0.683,0.88087606,0.856,0.98002427,0.5892642,0.96711554,0.7325252,0.57131628,0.562,0.50923662,0.56387461,0.469,0.74175104,0.99892,1.53399421,1.40043319,1.5190691,1.62322616,1.11610419,2.60474772,2.338263,2.02784333,3.05782561,2.5226775,2.64198831,1.9358416,1.41314011,1.8051723,1.4354197
PF3D7_1405800,1.838,1.919574765,2.1454912,2.574934025,1.97703984,1.822577245,1.806,2.264071855,1.990563195,2.50722374,2.038,1.957954,2.430570015,1.523,1.995929183,1.439125065,1.62707137,1.719,1.20328824,1.3795,1.073846565,0.77867056,0.87599732,0.647757,0.58402129,0.5875,0.497587445,0.316899325,0.336,0.316335,0.18665265,0.21426568,0.208718415,0.258564955,0.333384935,0.306264855,0.343418505,0.496103875,0.563542535,0.818548375,1.16239835,1.07668265,1.63099815,2.169565415,1.9109146,1.9428741
PF3D7_1405900,1.405,1.68187997,1.9425959,1.61415662,1.78767762,2.24365992,1.386,2.26525598,1.2506906,2.43246167,1.823,1.53332185,2.45477598,1.502,1.572499238,1.34567533,1.79640962,1.642,1.4352276,1.28,0.87412594,1.17759301,0.75510793,1.0388103,0.91066332,0.761,0.78881754,0.63828096,0.454,0.44535154,0.33015945,0.34381212,0.39146726,0.42555484,0.47822814,0.30031353,0.33753132,0.48175869,0.49473464,0.66735158,0.9444866,1.39738261,1.1745943,0.98793732,1.1606477,1.4115529
PF3D7_1406100,0.894,1.02749265,0.98261656,1.59771143,1.27378115,1.30383398,1.117,1.10361659,1.04245905,1.3241348,1.318,1.45588143,1.4352751,1.106,1.313221992,1.13424551,1.31524805,1.048,1.16545421,1.083,0.96609028,0.81093976,1.15656907,1.0683992,0.90820436,1.222,1.31219964,1.32676378,1.318,1.44513565,0.9735952,1.10628539,1.07821821,1.11721603,1.12928618,0.94031088,0.73785922,0.87386007,0.61415336,0.58523603,0.7708855,0.70988614,1.0092555,0.89166502,0.9051038,0.9092128
PF3D7_1406200,0.8,1.12512769,1.14946015,1.4825953,1.20071531,1.28480919,1.01,1.71226352,1.05156921,1.74033536,1.355,1.53332185,2.20844408,1.146,1.401611953,1.19849217,1.44567677,1.388,0.96559154,1.084,0.85926304,0.9624649,1.05462507,1.0196175,1.12705863,0.83,1.01431282,0.99955514,0.973,0.75453986,0.45490722,0.54779633,0.54920834,0.50851109,0.59606671,0.42666493,0.33753132,0.3813425,0.32641113,0.40406051,0.5317289,0.55184102,0.820953,1.33176697,1.0070696,1.209253
PF3D7_1406300,0.795,0.69855553,0.45609506,0.70840728,0.36411143,0.37542302,0.304,0.37537175,0.4203674,0.44548888,0.399,0.45302694,0.53680427,0.448,0.581690006,0.55252122,0.71571412,0.821,0.83317225,1.06,1.10635919,0.94937009,1.53276984,1.4386603,1.41968402,1.647,1.73822764,1.81443902,2.022,1.9754951,1.48196578,1.36537819,1.19363853,1.03641456,1.0183215,0.77550473,0.63189008,0.61445153,0.54363942,0.70645418,0.9019968,0.72700772,0.6866152,0.65786083,0.5878769,0.5409816
PF3D7_1406400,0.333,0.38937788,0.26661437,0.32257831,0.1558738,0.17249167,0.03,0.1432807,0.08329261,0.13102614,0.145,0.08518455,0.18795269,0.133,0.341774444,0.30254334,0.46800906,0.497,0.7517467,1.245,1.32558743,1.13363209,1.9125791,1.708959,1.98772154,1.883,2.03278616,1.98476686,2.047,1.76259902,1.38910834,1.32671995,1.27058534,0.98901095,0.98787997,0.61710768,0.42256832,0.59532463,0.30935133,0.25807736,0.4079016,0.37799134,0.4592744,0.57877999,0.4909464,0.530753
PF3D7_1406600,0.457,0.41959824,0.40998248,0.3301684,0.26425478,0.26761573,0.176,0.18709381,0.10671866,0.23276407,0.149,0.19489192,0.29901563,0.252,0.361977876,0.45790342,0.55240417,0.564,0.72624985,0.878,1.05526792,1.09995984,1.43623873,1.5794075,1.65657118,1.595,2.10933808,1.98207745,2.286,1.90177151,1.61890683,1.56442729,1.94771799,1.74962285,1.6242082,1.27541688,0.6606718,0.77583471,0.50383319,0.49660342,0.6045685,0.53998763,0.5350547,0.70255866,0.6294185,0.6625888
PF3D7_1406700,0.476,0.41843594,0.40327522,0.40733418,0.18510012,0.1991264,0.119,0.2368276,0.2576865,0.25588633,0.247,0.28523918,0.41577412,0.355,0.543808637,0.45439907,0.51623482,0.853,0.85620169,0.952,0.98466893,0.79223298,1.34963141,1.1347743,1.34837194,1.49,1.51023614,1.60556345,2.152,1.88221214,2.0447376,1.67299951,1.66686183,1.36716228,1.39442292,0.9659474,1.12510448,0.72921293,0.46857625,0.6504071,0.4297535,0.45833095,0.5603148,0.52147506,0.4972406,0.4818828
PF3D7_1406800,1.514,0.99959694,0.59443268,0.79822318,0.57600236,0.49337687,0.447,0.35050485,0.56743088,0.21734925,0.191,0.12519548,0.07688974,0.064,0.074079192,0.03153927,0.03507328,0.11,0.06004104,0.057,0.06874104,0.07108584,0.11367216,0.1951268,0.25164146,0.354,0.38775207,0.73330593,0.749,1.51133659,2.2961089,2.80725061,2.645049,2.97349703,2.9498919,2.54717144,3.95225636,3.0124861,1.91297397,1.69835753,1.1435814,1.05495144,1.0563311,0.51345237,0.7187959,0.671681
PF3D7_1407100,1.996,1.90620806,2.08261041,1.63313179,2.59627281,2.34639388,1.899,2.25578286,3.22498557,2.98585456,2.531,2.68331332,3.01436257,2.447,2.21648301,2.05238856,1.82709874,2.194,1.73543271,1.202,1.22526263,1.20471791,0.62790334,0.7949018,0.58770985,0.599,0.5050762,0.38368574,0.281,0.34529789,0.38268482,0.33147435,0.25777205,0.2930403,0.25531687,0.28749527,0.2681935,0.39210138,0.41171019,0.62955236,0.8182313,0.97461183,1.0276264,0.45270912,0.8585268,1.0069532
PF3D7_1407400,1.081,1.06933626,1.25677655,1.11447643,1.01926848,0.87514149,0.806,0.6927207,0.84203623,0.84627475,0.951,1.02866796,1.21742085,0.944,1.111187924,0.93916931,1.29113509,1.13,1.33324012,1.277,1.303293,1.32444145,1.67621332,1.3147068,1.24509244,1.147,1.47029593,1.20394851,1.273,1.135195,1.19495217,0.9483621,1.03108822,0.87696617,1.06054708,0.74254348,0.6174992,0.78539817,0.5743471,0.75468075,0.859507,1.04836623,0.8806587,1.17818977,1.2261072,1.1956149
PF3D7_1407500,1.099,1.12745237,1.2098256,1.84312396,1.37729114,1.45730089,1.51,1.57016696,2.73694294,2.36771944,2.397,1.79145691,2.33944142,1.893,2.219008455,1.69260733,1.82271451,2.07,1.94516521,2.045,1.4537802,1.14953283,1.38661987,1.1443707,1.0360743,1.002,0.78632126,0.65621018,0.606,0.4912408,0.4755422,0.41783865,0.40397111,0.35552683,0.43796666,0.31679413,0.27735133,0.3430887,0.27181971,0.39623997,0.5851446,0.59925458,0.8278421,1.04638837,0.9693045,1.0592329
PF3D7_1407600,0.618,0.6009205,0.47873209,0.47184984,0.49806549,0.44644899,0.49,0.8798145,0.58825403,0.86631397,1.21,0.92412333,1.06221745,0.637,0.920939031,0.64480278,0.84943097,1.104,1.03138988,1.02,0.84068434,1.06067551,1.63110525,1.4178681,1.51476683,1.244,1.30304666,1.32317787,1.363,0.94862889,0.75223829,0.62264539,0.69059824,0.6647274,0.77871647,0.59055553,0.47097398,0.52479422,0.61187868,0.47835552,1.04282,1.02861061,1.5822003,2.57070009,2.4887207,1.7559172
PF3D7_1407800,2.247,1.85157901,2.32407258,2.58315662,1.99104413,2.12316939,2.01,2.29959603,2.86318346,2.72534372,1.939,2.10250951,2.21983518,1.576,1.563239307,1.36553348,1.34155293,1.216,1.13419988,1.009,1.0692019,0.75575475,0.82096562,0.6149693,0.55000461,0.63,0.52920668,0.45540271,0.461,0.46190178,0.44740358,0.34463462,0.31548222,0.38461537,0.43109274,0.46054179,0.6541305,0.83680169,0.9189554,1.29951071,2.0212983,1.73322857,1.9886581,2.27271436,2.4862031,1.991176
PF3D7_1407900,3.176,2.99065445,4.38823811,4.4389307,3.31718911,2.99704242,3.006,2.82772156,3.87831208,3.22170143,2.406,2.18382214,2.43484169,1.699,1.572499238,1.24872136,1.04123799,1.228,0.95489929,0.737,0.66325815,0.49292419,0.52776358,0.3870548,0.29098604,0.391,0.3328344,0.2241155,0.193,0.23320773,0.16789359,0.15134313,0.12503868,0.17022194,0.24942496,0.28566409,0.37154614,0.54153025,0.57662178,0.8628647,1.3681701,1.23275223,1.9415825,2.0939229,2.3930492,2.1275579
PF3D7_1408000,1.04,0.91590972,0.79816634,1.07146601,0.8585236,0.94363085,0.85,0.96388834,1.38343811,1.34109109,1.177,1.54364727,1.423884,1.551,1.889861109,2.00566377,1.88190069,1.918,2.66154533,1.982,2.87969221,2.08019614,1.04109268,1.6753715,1.33607677,0.96,0.80213089,0.74675285,0.483,0.76883319,0.87042036,0.62593542,0.59056733,0.60008616,0.58526486,0.48984067,0.62665702,0.66346421,0.65395956,0.81203132,1.1484374,0.98383109,0.8014338,0.3449758,0.5211585,0.5784866
PF3D7_1408100,0.66,0.6009205,1.19138061,1.13724667,1.12886721,1.32920038,1.337,1.49793455,1.92744294,2.32918238,1.858,2.08831219,2.37931017,1.961,1.728233855,1.95309837,1.77448871,1.807,1.99040166,1.894,1.72317073,1.42545821,1.60855127,1.2411344,1.15410803,1.387,1.0500925,0.85432829,0.786,0.80870426,0.67814001,0.45156185,0.36934503,0.32536089,0.38101136,0.30763824,0.30613307,0.29766232,0.22518956,0.33888945,0.4115436,0.40828333,0.5752412,0.86415866,0.7792201,0.671681
PF3D7_1408200,1.166,1.47498668,1.48314733,1.55470094,2.09577179,1.98238568,1.516,2.33512014,1.2962412,2.27831342,2.294,2.35935383,2.57722996,2.076,1.214730352,1.60616637,1.71639862,1.335,1.54872985,1.28,1.20854183,1.19442913,0.86426928,0.8988628,0.88443364,0.764,0.87535451,0.62035168,0.538,0.56421225,0.47835602,0.39645319,0.43763539,0.51174314,0.54402137,0.4303273,0.50237223,0.57022058,0.48904804,0.66735158,0.9177787,0.90480851,0.8863996,1.65496696,1.4627685,1.2706249
PF3D7_1408400,0.535,0.62300461,0.5206526,0.78810313,0.49075889,0.58215933,0.438,0.69508902,0.61168009,0.86323104,0.868,0.85700817,0.9881755,0.793,1.011854436,0.95435482,1.31853606,1.189,1.78971658,2.044,2.08545448,1.39085057,1.98655623,1.7641383,1.6303415,1.557,1.23564772,1.42896041,1.335,1.14572701,0.96796745,0.96398997,0.99646211,0.82848522,0.93387056,0.74986822,0.84121183,0.8882052,0.50383319,0.52788551,0.4734573,0.43462421,0.5752412,0.69912041,0.625642,0.6853191
