Gene_id	12B-10G_MaxVal	12B-10G_MaxTime	Red_Pcnt_12B	Red_Pcnt_10G	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_0302200	-3.767873418067438	Right	90.60338201383551	99.73154362416108	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1301600	-3.269871351683838	Right	43.44497607655502	99.42539743344186	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1100300	-2.4104433784500747	Left	14.239234449760763	40.54002297970126	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1100500	-3.3546311348778084	Left	14.239234449760763	81.4167786523325	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1301700	-2.9035007569271563	Left	89.22488038277511	99.86595174262736	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1102200	-2.4882391115076152	Sides	20.70813397129187	50.134048257372655	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0425900	-2.297625468076519	Right	22.596706242818843	51.86960690316395	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1240100	-2.0906756987325186	Sides	81.76402767102229	98.88910170465428	TRUE	TRUE	TRUE	TRUE	FALSE
