Gene_id	E5-B11_MaxVal	E5-B11_MaxTime	Red_Pcnt_B11	Red_Pcnt_E5	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_0425500	2.304093555246419	Left	9.021078956770276	41.389782065023226	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0401700	2.4892292944234846	Mid	33.81564844587353	91.67559842801	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1222600	2.4652603098315504	Left	22.079314040728832	50.232225794926755	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1480000	2.4638846903917453	Left	4.519471239728475	19.703465523401213	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1477400	2.445971360015113	Mid	21.454090746695247	45.21257591997142	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0415500	2.4363131662019946	Left	91.44337263308324	99.60700250089316	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1149900	2.4337819228914546	Left	6.573776348695963	17.416934619506964	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0800900	2.3887924584144793	Sides	10.468024294390856	68.22079314040728	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1038600	2.3058564740187735	Left	13.5762772418721	29.974991068238655	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1343100	2.277593703249587	Right	91.05037513397644	98.05287602715256	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0712300	2.241006071146863	Left	64.07645587709897	99.6605930689532	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0425100	2.2312712656325777	Left	17.18470882458021	70.50732404430153	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0413300	2.1467069822146243	Left	15.666309396212933	45.837799214005	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0115600	2.0926167673364806	Left	31.332618792425865	93.53340478742408	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0221500	2.087485794297708	Left	32.529474812433016	64.84458735262594	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1300400	2.0582605528087834	Left	3.0010718113612005	18.006430868167204	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0421500	2.042825053997889	Left	6.09146123615577	15.0768131475527	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1100200	2.0059079643574895	Left	25.49124687388353	83.54769560557342	TRUE	TRUE	TRUE	TRUE	FALSE
