Gene_id	A7-B11_MaxVal	A7-B11_MaxTime	Red_Pcnt_A7	Red_Pcnt_B11	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_1200600	-4.781643465855072	Left	83.86923901393355	99.94640943193995	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0221800	-3.9203908937632703	Left	1.8399428367274029	49.10682386566631	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1301200	-2.8211226712247375	Sides	2.947481243301179	55.19828510182207	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0400300	-2.468172662908323	Right	10.414433726330833	23.704894605216147	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0223400	-2.55165575079611	Right	4.126473740621651	24.848160057163273	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1114000	-2.1519173777080143	Left	24.848160057163273	45.40907466952483	TRUE	TRUE	TRUE	TRUE	FALSE
