Gene_id	A7-E5_MaxVal	A7-E5_MaxTime	Red_Pcnt_A7	Red_Pcnt_E5	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_1040200	2.9391740302659453	Mid	97.28474455162558	65.7556270096463	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0832000	2.9667074995938076	Mid	88.38871025366201	30.385852090032156	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1372500	3.8445855517450087	Mid	98.12433011789923	65.23758485173276	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0413100	2.776687762432129	Mid	98.2136477313326	96.5166130760986	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0412700	4.179153079232236	Left	99.57127545551982	71.09682029296177	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0300900	3.1383085616495956	Mid	98.92818863879955	74.0800285816363	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1372600	2.1198653379262917	Mid	92.05073240443016	36.45944980350125	TRUE	TRUE	TRUE	TRUE	FALSE
